prev_filename,filename,cell_type,xmin,xmax,ymin,ymax
0_r06c04f01p01.png,0.png,G,1,15,1,36
0_r06c04f01p01.png,0.png,U,4,33,9,39
0_r06c04f01p01.png,0.png,R,1,29,45,83
0_r06c04f01p01.png,0.png,G,88,143,6,56
0_r06c04f01p01.png,0.png,G,67,103,1,24
0_r06c04f01p01.png,0.png,U,44,74,1,10
0_r06c04f01p01.png,0.png,U,146,177,60,95
0_r06c04f01p01.png,0.png,R,174,201,78,104
0_r06c04f01p01.png,0.png,U,204,234,73,110
0_r06c04f01p01.png,0.png,U,170,211,31,73
0_r06c04f01p01.png,0.png,G,39,71,57,93
0_r06c04f01p01.png,0.png,G,4,43,83,122
0_r06c04f01p01.png,0.png,R,2,19,125,168
0_r06c04f01p01.png,0.png,U,12,45,116,145
0_r06c04f01p01.png,0.png,G,21,64,131,176
0_r06c04f01p01.png,0.png,G,1,34,170,216
0_r06c04f01p01.png,0.png,R,76,114,224,267
0_r06c04f01p01.png,0.png,R,115,152,237,275
0_r06c04f01p01.png,0.png,U,127,178,202,244
0_r06c04f01p01.png,0.png,R,144,191,250,305
0_r06c04f01p01.png,0.png,U,221,263,164,256
0_r06c04f01p01.png,0.png,R,185,222,237,279
0_r06c04f01p01.png,0.png,G,218,280,106,160
0_r06c04f01p01.png,0.png,R,288,367,1,60
0_r06c04f01p01.png,0.png,U,380,428,1,30
0_r06c04f01p01.png,0.png,R,138,178,304,345
0_r06c04f01p01.png,0.png,U,217,260,270,307
0_r06c04f01p01.png,0.png,U,207,244,308,345
0_r06c04f01p01.png,0.png,U,243,272,301,330
0_r06c04f01p01.png,0.png,U,270,299,288,319
0_r06c04f01p01.png,0.png,R,269,306,244,286
0_r06c04f01p01.png,0.png,G,302,356,246,293
0_r06c04f01p01.png,0.png,G,301,346,294,334
0_r06c04f01p01.png,0.png,U,275,306,206,232
0_r06c04f01p01.png,0.png,R,270,304,162,195
0_r06c04f01p01.png,0.png,R,298,337,182,214
0_r06c04f01p01.png,0.png,R,359,391,204,237
0_r06c04f01p01.png,0.png,U,329,360,209,242
0_r06c04f01p01.png,0.png,U,347,387,236,259
0_r06c04f01p01.png,0.png,U,360,391,271,311
0_r06c04f01p01.png,0.png,U,384,420,263,305
0_r06c04f01p01.png,0.png,U,375,416,301,329
0_r06c04f01p01.png,0.png,U,393,426,322,357
0_r06c04f01p01.png,0.png,R,340,380,306,338
0_r06c04f01p01.png,0.png,U,370,408,334,370
0_r06c04f01p01.png,0.png,U,324,370,338,373
0_r06c04f01p01.png,0.png,U,314,350,357,385
0_r06c04f01p01.png,0.png,U,279,311,383,414
0_r06c04f01p01.png,0.png,R,147,195,385,427
0_r06c04f01p01.png,0.png,R,186,216,352,389
0_r06c04f01p01.png,0.png,U,147,192,338,383
0_r06c04f01p01.png,0.png,U,215,260,348,394
0_r06c04f01p01.png,0.png,U,264,281,350,375
0_r06c04f01p01.png,0.png,U,288,319,340,379
0_r06c04f01p01.png,0.png,U,314,353,378,406
0_r06c04f01p01.png,0.png,U,288,319,324,345
0_r06c04f01p01.png,0.png,R,445,505,330,385
0_r06c04f01p01.png,0.png,R,437,476,383,419
0_r06c04f01p01.png,0.png,G,448,496,420,455
0_r06c04f01p01.png,0.png,R,465,502,91,129
0_r06c04f01p01.png,0.png,R,495,532,70,105
0_r06c04f01p01.png,0.png,R,470,506,37,73
0_r06c04f01p01.png,0.png,R,500,539,27,67
0_r06c04f01p01.png,0.png,R,438,479,18,60
0_r06c04f01p01.png,0.png,U,442,496,57,107
0_r06c04f01p01.png,0.png,R,463,496,128,155
0_r06c04f01p01.png,0.png,U,494,520,134,164
0_r06c04f01p01.png,0.png,U,522,543,134,163
0_r06c04f01p01.png,0.png,U,468,509,157,193
0_r06c04f01p01.png,0.png,U,488,515,161,188
0_r06c04f01p01.png,0.png,U,515,539,162,196
0_r06c04f01p01.png,0.png,U,483,521,193,226
0_r06c04f01p01.png,0.png,R,406,442,164,204
0_r06c04f01p01.png,0.png,G,494,532,276,311
0_r06c04f01p01.png,0.png,U,526,540,298,339
0_r06c04f01p01.png,0.png,U,249,278,463,493
0_r06c04f01p01.png,0.png,R,198,247,444,488
0_r06c04f01p01.png,0.png,G,144,189,437,483
0_r06c04f01p01.png,0.png,U,171,202,478,509
0_r06c04f01p01.png,0.png,U,206,244,496,529
0_r06c04f01p01.png,0.png,R,14,53,328,368
0_r06c04f01p01.png,0.png,U,4,28,332,369
0_r06c04f01p01.png,0.png,R,2,36,300,329
0_r06c04f01p01.png,0.png,R,32,56,297,332
0_r06c04f01p01.png,0.png,R,285,329,477,522
0_r06c04f01p01.png,0.png,U,491,517,485,516
0_r06c04f01p01.png,0.png,U,524,540,514,540
0_r06c04f01p01.png,0.png,R,244,287,431,450
0_r06c04f01p01.png,0.png,U,260,291,408,430
0_r06c04f01p01.png,0.png,U,2,49,372,422
0_r06c04f01p01.png,0.png,U,34,60,407,434
0_r06c04f01p01.png,0.png,R,14,42,426,454
0_r06c04f01p01.png,0.png,R,1,21,449,496
0_r06c04f01p01.png,0.png,R,16,60,472,518
0_r06c04f01p01.png,0.png,R,1,19,501,537
0_r06c04f01p01.png,0.png,R,56,91,445,485
0_r06c04f01p01.png,0.png,U,98,129,429,478
0_r06c04f01p01.png,0.png,U,86,126,480,520
0_r06c04f01p01.png,0.png,U,131,171,493,540
0_r06c04f01p01.png,0.png,U,91,131,524,540
0_r06c04f01p01.png,0.png,R,44,77,513,540
0_r06c04f01p01.png,0.png,U,54,89,496,522
0_r06c04f01p01.png,0.png,U,401,421,381,422
0_r06c04f01p01.png,0.png,U,505,534,355,398
0_r06c04f01p01.png,0.png,U,62,87,181,219
1000_r07c04f533p01.png,1000.png,R,166,226,182,242
